Robert De Niro,Niro
Jack Nicholson,Nicholson
Tom Hanks,Hanks
Marlon Brando,Brando
Leonardo DiCaprio,DiCaprio
Humphrey Bogart,Bogart
Johnny Depp,Depp
Al Pacino,Pacino
Denzel Washington,Washington
Laurence Olivier,Olivier
Brad Pitt,Pitt
Daniel Day-Lewis,Day-Lewis
Tom Cruise,Cruise
Cary Grant,Grant
Dustin Hoffman,Hoffman
John Clark Gable,Gable
Sean Penn,Penn
Christian Bale,Bale
Gregory Peck,Peck
Harry M. Ford,Ford
Tracy Spencer,Spencer
George Clooney,Clooney
Charlton Heston,Heston
Anthony Hopkins,Hopkins
Russell Crowe,Crowe
Katharine Hepburn,Hepburn
Meryl Streep,Streep
Ingrid Bergman,Bergman
Marilyn Monroe,Monroe
Taylor Lawrence,Lawrence
Kate Winslet,Winslet
Julianne Taylor,Taylor
Cate Blanchett,Blanchett
Audrey Hepburn,Hepburn
Helen Mirren,Mirren
Bette Davis,Davis
Nicole Kidman,Kidman
Sandra Bullock,Bullock
Natalie Portman,Portman
Jodie Foster,Foster
Judi Dench,Dench
Amy Adams,Adams
Julia Roberts,Roberts
Emma Thompson,Thompson
Diane Keaton,Keaton
Katie Kelly,Kelly
Shirley MacLaine,MacLaine
Reese Witherspoon,Witherspoon
Charlize Theron,Theron
Judy Garland,Garland
John Wayne Parr,Parr
Sidney Poitier,Poitier
Paula J. Newman,Newman
Matt Rippy,Rippy
Robert Duvall,Duvall
James Parks,Parks
Kirk Douglas,Douglas
Peter Fonda,Fonda
Robin Williams,Williams
Orson Welles,Welles
Christoph Waltz,Waltz
Heath Ledger,Ledger
Sean Connery,Connery
Kevin Spacey,Spacey
Gene Hackman,Hackman
Liam Neeson,Neeson
Edward Norton,Norton
Bruce Willis,Willis
Gary Cooper,Cooper
Philip Seymour Hoffman,Hoffman
Robert Redford,Redford
Ralph Fiennes,Fiennes
Joaquin Phoenix,Phoenix
David James Elliott,Elliott
Steve McQueen,McQueen
Vivien Leigh,Leigh
Angelina Jolie,Jolie
Anne Hathaway,Hathaway
Maggie Smith,Smith
Olivia de Havilland,Havilland
Barbara Stanwyck,Stanwyck
Joan Fontaine,Fontaine
Greer Garson,Garson
Faye Dunaway,Dunaway
Susan Hayward,Hayward
Ellen Burstyn,Burstyn
Jane Wyman,Wyman
Sophia Loren,Loren
Joanne Crawford,Crawford
Kathy Bates,Bates
Julie Andrews,Andrews
Marion Cotillard,Cotillard
Deborah Kerr,Kerr
Sissy Spacek,Spacek
Susan Sarandon,Sarandon
Luise Rainer,Rainer
Glenn Close,Close
Doris Day,Day
Natalie Wood,Wood
Jane Fonda,Fonda
Jeff Bridges,Bridges
Chiwetel Ejiofor,Ejiofor
Kingsley Ben-Adir,Ben-Adir
Tommy Lee Jones,Jones
Samuel L. Jackson,Jackson
Jack Lemmon,Lemmon
Joe Pesci,Pesci
Christopher Plummer,Plummer
George C. Scott,Scott
Kim Fields,Fields
Christopher Walken,Walken
John Travolta,Travolta
Jim Palmer,Palmer
Matthew McConaughey,McConaughey
Peter O\Toole,O\Toole
Bernhard Marsch,Marsch
Ian McKellen,McKellen
John Cusack,Cusack
Billy Murray,Murray
Robert Downey Jr.,Jr.
Nicolas Cage,Cage
Gene Wilder,Wilder
Kevin Costner,Costner
Donald Sutherland,Sutherland
Bruce Dern,Dern
Ava Gardner,Gardner
Sally Field,Field
Greta Garbo,Garbo
Holly Hunter,Hunter
Hilary Swank,Swank
Claudette Colbert,Colbert
Diane Lane,Lane
Jessica Lange,Lange
Gloria Swanson,Swanson
Lauren Bacall,Bacall
Frances McDormand,McDormand
Norma Shearer,Shearer
Bette Midler,Midler
Mary Tyler Moore,Moore
Anna Magnani,Magnani
Halle Berry,Berry
Sharon Stone,Stone
Kim Basinger,Basinger
Glenda Jackson,Jackson
Donna Reed,Reed
Geena Davis,Davis
Demi Moore,Moore
Michelle Pfeiffer,Pfeiffer
Liza Minnelli,Minnelli
Peter Sellers,Sellers
Woody Allen,Allen
Jon Voight,Voight
Mel Gibson,Gibson
Jim Carrey,Carrey
Mark Wahlberg,Wahlberg
Steven M. Martin,Martin
Javier Bardem,Bardem
Tim Robbins,Robbins
Patrick Schwarzenegger,Schwarzenegger
Sylvester Stallone,Stallone
